frame,leye_openness,reye_openness,confidence,face_yaw,face_pitch,nose_length,normal_vector,distance_x,distance_y,arrow_length,pitch_arrow_length,triangle_area,eye_distance,area_confidence,visibility_confidence,basic_visibility,z_anomaly_score,eye_position_score,eye_opening_score,eye_difference_score,eye_depth_score,eye_variation_score,eye_brightness_score,eye_symmetry,distance_confidence,shape_confidence,eye_distance_ratio,weighted_confidence,final_confidence,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,nose_tip_x,nose_tip_y,nose_tip_z,nose_bridge_x,nose_bridge_y,nose_bridge_z,triangle_center_x,triangle_center_y
1,0.05739712256827018,0.20766835768569844,0.9020000000000001,-2.5,-13.0,51.973616318413264,0.6394527491838238,-5,-26,0.0,0.0,2150.0,115.97413504743201,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9020000000000001,0.39405369758605957,0.48092472553253174,0.044356562197208405,0.5740115642547607,0.4496748447418213,0.02019873820245266,0.4713345170021057,0.5438922047615051,-0.06116340309381485,0.47465431690216064,0.4357043504714966,-0.005034539382904768,306,235
2,0.036819568724915305,0.21174603664691521,0.62,-3.0,-12.5,50.70467374950798,0.6221309970564975,-6,-25,0.0,0.0,2074.0,117.09824934643558,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.396835058927536,0.48080942034721375,0.04294435679912567,0.5780057311058044,0.44664445519447327,0.018301891162991524,0.4722674787044525,0.5396166443824768,-0.06096288561820984,0.47548189759254456,0.434068888425827,-0.006673789583146572,308,234
3,0.05536882193154358,0.213458495085812,0.8470000000000001,-3.0,-13.0,50.439722210248064,0.6427168793176203,-6,-26,0.0,0.0,2094.0,115.11733144926528,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.3991600573062897,0.4804316759109497,0.04035567119717598,0.5767717361450195,0.44718649983406067,0.017454253509640694,0.4740447998046875,0.5425650477409363,-0.060658056288957596,0.47741228342056274,0.4375782608985901,-0.008570841513574123,309,234
4,0.05566472884293646,0.20710808741610767,0.8470000000000001,-3.0,-12.5,50.847188386683584,0.628724076828805,-6,-25,0.0,0.0,2098.5,117.23907198540937,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.39705193042755127,0.4841458797454834,0.04206680506467819,0.5795925259590149,0.4486640393733978,0.018679175525903702,0.47443437576293945,0.5451161861419678,-0.061259813606739044,0.4780077636241913,0.43929174542427063,-0.006981866434216499,309,236
5,0.0740189480927775,0.20939509844830292,0.8470000000000001,-3.0,-13.0,51.256205698757945,0.6363574737386563,-6,-26,0.0,0.0,2229.0,119.07980517283357,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.3964267373085022,0.48440927267074585,0.04098918288946152,0.5797351598739624,0.45040708780288696,0.017242755740880966,0.4740874469280243,0.5482903122901917,-0.061188340187072754,0.47780510783195496,0.44162166118621826,-0.008391758427023888,309,237
6,0.06345815477775067,0.21016718891361616,0.9020000000000001,-2.5,-13.5,52.791025605314324,0.6446088839433157,-5,-27,0.0,0.0,2223.0,117.23907198540937,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9020000000000001,0.3960946500301361,0.4855208992958069,0.04048304632306099,0.5770347714424133,0.45030370354652405,0.01683986559510231,0.47459593415260315,0.5509147047996521,-0.061731547117233276,0.4777994453907013,0.44101637601852417,-0.009416940622031689,308,237
7,0.050478799178983624,0.21229214426688314,0.9020000000000001,-2.0,-13.5,53.25469610423533,0.64224689075453,-4,-27,0.0,0.0,2264.0,117.09824934643558,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9020000000000001,0.39708104729652405,0.4836359918117523,0.03803357481956482,0.578964352607727,0.45024821162223816,0.016646001487970352,0.47690078616142273,0.5509152412414551,-0.06181354448199272,0.4796375632286072,0.44002798199653625,-0.011142988689243793,309,237
8,0.0514366151132868,0.2204304760596777,0.8470000000000001,-2.5,-13.5,53.431477857940315,0.6413595677752573,-5,-27,0.0,0.0,2280.0,118.0889495253472,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.39699360728263855,0.48315703868865967,0.0383753776550293,0.580256998538971,0.44817623496055603,0.01717964932322502,0.4779616892337799,0.5499192476272583,-0.06254133582115173,0.480216920375824,0.43864428997039795,-0.011060629971325397,310,236
9,0.0380184551343863,0.2187803622335398,0.62,-2.5,-13.5,53.88920089623748,0.6459422414661738,-5,-27,0.0,0.0,2337.5,120.20815280171308,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.39861932396888733,0.4820187985897064,0.0382673516869545,0.5851418375968933,0.4460652470588684,0.016890881583094597,0.4796184003353119,0.5483884811401367,-0.06274672597646713,0.48190078139305115,0.4361605644226074,-0.011464569717645645,311,236
10,0.04746876910128486,0.20061179048556457,0.8470000000000001,-2.0,-13.5,52.798266555355916,0.6336582334609098,-4,-27,0.0,0.0,2338.5,119.21828718783037,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.40063968300819397,0.48079609870910645,0.03404628857970238,0.5850615501403809,0.44385412335395813,0.01842828281223774,0.48432669043540955,0.5462069511413574,-0.06287500262260437,0.4862692356109619,0.4362410604953766,-0.013204274699091911,313,235
