frame,leye_openness,reye_openness,confidence,face_yaw,face_pitch,nose_length,normal_vector,distance_x,distance_y,triangle_area,eye_distance,sunglasses_detected,eye_roi_width,eye_roi_height,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,nose_tip_x,nose_tip_y,nose_tip_z,nose_bridge_x,nose_bridge_y,nose_bridge_z,triangle_center_x,triangle_center_y
1,0.20010306652570903,0.1761805292444378,1.0,1.5,-17.5,56.82573304356271,0.6739105885965238,3,-35,2762.0,107.0420478129973,False,80,48,0.4239135980606079,0.5044072866439819,0.013089851476252079,0.5920539498329163,0.49946099519729614,0.02105622924864292,0.515181839466095,0.6101993918418884,-0.05915511026978493,0.5100264549255371,0.4920121729373932,-0.022893738001585007,326,257
2,0.20085739056428403,0.174348185542791,1.0,1.5,-17.0,55.906631469533956,0.6599243889359174,3,-34,2729.0,108.00462953040486,False,80,48,0.4234352111816406,0.503892719745636,0.015150859020650387,0.5921559929847717,0.5005990266799927,0.018270272761583328,0.5132994055747986,0.6075304746627808,-0.059482503682374954,0.5096877217292786,0.4911579191684723,-0.023240841925144196,325,257
3,0.1984763180095609,0.1846766142235224,1.0,1.0,-17.0,56.07692720772909,0.6791475497770829,2,-34,2730.0,108.04165863221463,False,80,48,0.4237109124660492,0.5042067766189575,0.015866709873080254,0.592589259147644,0.4996122419834137,0.017714498564600945,0.511936604976654,0.6079317331314087,-0.05958343297243118,0.5088045001029968,0.4911794662475586,-0.023242224007844925,325,257
4,0.2018293552786575,0.18710280835339382,1.0,1.5,-17.0,56.00440921556807,0.6667248282126663,3,-34,2783.0,109.01834707974616,False,80,48,0.423408180475235,0.5038033723831177,0.015142996795475483,0.5926499962806702,0.4995381534099579,0.018065210431814194,0.512858510017395,0.6076754331588745,-0.059550222009420395,0.509093701839447,0.49110761284828186,-0.023389849811792374,325,257
5,0.2063759920444669,0.186181230217502,1.0,1.0,-17.0,55.487815536059266,0.6728937552303972,2,-34,2728.0,108.00462953040486,False,80,48,0.4234761595726013,0.5040117502212524,0.016603995114564896,0.5925425291061401,0.5003388524055481,0.01781049557030201,0.5114073157310486,0.6066694855690002,-0.059536438435316086,0.5082891583442688,0.49114465713500977,-0.022893719375133514,325,257
6,0.19953300366950916,0.19002934352177236,1.0,1.0,-17.0,56.15028926960725,0.6791475497770829,2,-34,2730.0,108.04165863221463,False,80,48,0.42347002029418945,0.504328191280365,0.01593186892569065,0.5923880338668823,0.49993494153022766,0.017549490556120872,0.5120851397514343,0.6077210307121277,-0.05948489159345627,0.5084726810455322,0.49084046483039856,-0.023308319970965385,325,257
7,0.20455518364495667,0.19328073810634272,1.0,1.0,-17.0,56.159917488150406,0.6728937552303972,2,-34,2728.0,108.00462953040486,False,80,48,0.4235308766365051,0.5041120052337646,0.015568025410175323,0.5929118394851685,0.5000545978546143,0.01724237948656082,0.512210488319397,0.6083014011383057,-0.05951618775725365,0.5086216330528259,0.49139946699142456,-0.023738671094179153,325,257
8,0.20128464667865317,0.19130885281294846,1.0,1.0,-17.0,55.95326843139632,0.6797128908502075,2,-34,2756.0,108.01851693112621,False,80,48,0.42357906699180603,0.5040218234062195,0.0154616953805089,0.5931592583656311,0.499939501285553,0.017176995053887367,0.5124354958534241,0.6081844568252563,-0.059414517134428024,0.5090011954307556,0.49170511960983276,-0.023776033893227577,325,257
9,0.20027695205582316,0.18656796880695528,1.0,1.0,-17.0,55.933274512155435,0.6658150493230859,2,-34,2703.0,108.01851693112621,False,80,48,0.42368316650390625,0.5044044852256775,0.01605953648686409,0.5931275486946106,0.5008618235588074,0.017783746123313904,0.5126819014549255,0.6080225110054016,-0.05961090698838234,0.5091482996940613,0.49159014225006104,-0.023134686052799225,326,257
10,0.20382959044702853,0.18920996802081272,1.0,1.0,-17.0,56.032954418014086,0.6658150493230859,2,-34,2703.0,108.01851693112621,False,80,48,0.42392441630363464,0.5042291879653931,0.015929142013192177,0.592945396900177,0.5006394386291504,0.017573373392224312,0.5125699043273926,0.6082045435905457,-0.05920897796750069,0.5090247988700867,0.49156495928764343,-0.02310788817703724,326,257
11,0.20553756146061303,0.1910275750778067,1.0,1.0,-17.5,56.11661613620159,0.6736663646050797,2,-35,2782.5,108.00462953040486,False,80,48,0.4240148663520813,0.5039821267127991,0.015535840764641762,0.5932485461235046,0.500813901424408,0.01775078848004341,0.5130214691162109,0.6084556579589844,-0.05950654298067093,0.5095257759094238,0.49163898825645447,-0.023424632847309113,326,257
12,0.2082390433416523,0.19252606884855136,1.0,1.0,-17.5,56.16098154527889,0.6736663646050797,2,-35,2782.5,108.00462953040486,False,80,48,0.4241821765899658,0.5041210651397705,0.015654178336262703,0.5927320122718811,0.5009214878082275,0.01822684518992901,0.5130341053009033,0.6084052920341492,-0.05959963798522949,0.5096001625061035,0.4914928674697876,-0.023164231330156326,326,257
13,0.20992818480284509,0.19671445419122796,1.0,1.0,-17.0,55.884036313822826,0.666369986204055,2,-34,2728.5,108.00462953040486,False,80,48,0.4244062006473541,0.5039312243461609,0.016197754070162773,0.5931570529937744,0.5006263256072998,0.018133094534277916,0.5129641890525818,0.6081224679946899,-0.059457045048475266,0.5096123218536377,0.4917832016944885,-0.02279839850962162,326,257
